date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:10:31	20766/20766	---M-Z	200	added ('OK')	text/css	etag:%22511e-4fc97dc4e324f-gzip%22	http://htmlstream.com/preview/unify-v1.5/assets/plugins/font-awesome/css/font-awesome.min.css	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://htmlstream.com/preview/unify-v1.5/)
08:10:42	3844/3844	---M-Z	200	added ('OK')	text/css	etag:%22f04-4fc97cab57a80-gzip%22	http://htmlstream.com/preview/unify-v1.5/assets/plugins/flexslider/flexslider.css	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/assets/plugins/flexslider/flexslider.css	(from http://htmlstream.com/preview/unify-v1.5/)
08:10:45	18010/18010	---M-Z	200	added ('OK')	text/css	etag:%22465a-4fc97e6ecfa71-gzip%22	http://htmlstream.com/preview/unify-v1.5/assets/plugins/parallax-slider/css/parallax-slider.css	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/assets/plugins/parallax-slider/css/parallax-slider.css	(from http://htmlstream.com/preview/unify-v1.5/)
08:10:47	9884/9884	---M-Z	200	added ('OK')	text/css	etag:%22269c-4fc97b5357a27-gzip%22	http://htmlstream.com/preview/unify-v1.5/assets/css/themes/default.css	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/assets/css/themes/default.css	(from http://htmlstream.com/preview/unify-v1.5/)
08:10:52	64068/64068	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:10:50%20GMT	http://htmlstream.com/preview/unify-v1.5/page_faq.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_faq.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:10:59	1410442/1410442	---M--	200	added ('OK')	image/jpeg	etag:%2215858a-5056a0190c7cb%22	http://soliloquywp.com/wp-content/uploads/2012/02/photodune-4429669-concert-crowd-l.jpg	/home/anb/sites/httrack/httrack/soliloquywp.com/wp-content/uploads/2012/02/photodune-4429669-concert-crowd-l.jpg	(from http://soliloquywp.com/)
08:11:01	47432/47432	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:10:59%20GMT	http://htmlstream.com/preview/unify-v1.5/page_login.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_login.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:11	1178/1178	---M--	200	added ('OK')	image/png	etag:%2249a-4fc97b05216ad%22	http://htmlstream.com/preview/unify-v1.5/assets/img/logo1-default.png	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/assets/img/logo1-default.png	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:13	53751/53751	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:12%20GMT	http://htmlstream.com/preview/unify-v1.5/One-Page/index.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/One-Page/index.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:14	70327/70327	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:13%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home1.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home1.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:17	61643/61643	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:04%20GMT	http://htmlstream.com/preview/unify-v1.5/index.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/index-2.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:17	66712/66712	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:15%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home3.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home3.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:18	59545/59545	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:14%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home2.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home2.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:25	68613/68613	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:20%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home4.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home4.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:35	69001/69001	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:30%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home5.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home5.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:11:48	60916/60916	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:40%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home6.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home6.html	(from http://htmlstream.com/preview/unify-v1.5/)
